"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript JSX", "JSON", "comment", "blank", "total"
"f:\DEV\Projects\ProjectHandler\react-client\src\components\chart\Chart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"f:\DEV\Projects\ProjectHandler\react-client\src\components\chart\chart.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"f:\DEV\Projects\ProjectHandler\react-client\src\components\dashboardTopbar\DashboardTopbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 14, 58
"f:\DEV\Projects\ProjectHandler\react-client\src\components\dashboardTopbar\dashboardTopbar.scss", "SCSS", 0, 0, 0, 0, 57, 0, 0, 0, 15, 72
"f:\DEV\Projects\ProjectHandler\react-client\src\components\generateMaterials\GenerateMaterials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 326, 0, 11, 50, 387
"f:\DEV\Projects\ProjectHandler\react-client\src\components\generateMaterials\generateMaterials.scss", "SCSS", 0, 0, 0, 0, 66, 0, 0, 0, 16, 82
"f:\DEV\Projects\ProjectHandler\react-client\src\components\itemModal\ItemModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 8, 71
"f:\DEV\Projects\ProjectHandler\react-client\src\components\itemModal\itemModal.scss", "SCSS", 0, 0, 0, 0, 40, 0, 0, 0, 12, 52
"f:\DEV\Projects\ProjectHandler\react-client\src\components\openProjects\OpenProjects.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 7, 74
"f:\DEV\Projects\ProjectHandler\react-client\src\components\openProjects\openProjects.scss", "SCSS", 0, 0, 0, 0, 53, 0, 0, 0, 12, 65
"f:\DEV\Projects\ProjectHandler\react-client\src\components\openTasks\OpenTasks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 1, 11, 79
"f:\DEV\Projects\ProjectHandler\react-client\src\components\openTasks\openTasks.scss", "SCSS", 0, 0, 0, 0, 57, 0, 0, 0, 17, 74
