Date : 2023-12-01 21:40:33
Directory : f:\DEV\Projects\ProjectHandler
Total : 97 files,  38843 codes, 184 comments, 1535 blanks, all 40562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\DEV\Projects\ProjectHandler\react-client\src\app.scss                                               | SCSS               |         21 |          0 |         12 |         33 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\activities\Activities.jsx                   | JavaScript JSX     |        518 |         50 |         61 |        629 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\activities\activities.scss                  | SCSS               |        659 |          0 |        158 |        817 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\activityModal\activityModal.jsx             | JavaScript JSX     |        452 |         16 |         58 |        526 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\activityModal\activityModal.scss            | SCSS               |        428 |          0 |        105 |        533 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\cards\Cards.jsx                             | JavaScript JSX     |         59 |          0 |          3 |         62 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\cards\cards.scss                            | SCSS               |         71 |          0 |         15 |         86 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\chart\Chart.jsx                             | JavaScript JSX     |         40 |          0 |          4 |         44 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\chart\chart.scss                            | SCSS               |         33 |          0 |          6 |         39 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\dashboardTopbar\DashboardTopbar.jsx         | JavaScript JSX     |         44 |          0 |         14 |         58 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\dashboardTopbar\dashboardTopbar.scss        | SCSS               |         57 |          0 |         15 |         72 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\generateMaterials\GenerateMaterials.jsx     | JavaScript JSX     |        326 |         11 |         50 |        387 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\generateMaterials\generateMaterials.scss    | SCSS               |         66 |          0 |         16 |         82 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\itemModal\ItemModal.jsx                     | JavaScript JSX     |         63 |          0 |          8 |         71 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\itemModal\itemModal.scss                    | SCSS               |         40 |          0 |         12 |         52 |
